"MLBId","G","GS","PO","A","E","POS"
460077,24,16,136,5,2,"C"
460086,55,55,95,4,1,"LF"
460092,0,0,0,0,0,"P"
460099,56,34,66,2,0,"LF"
460156,0,0,0,0,0,"P"
460269,33,22,202,14,1,"C"
460283,40,0,1,2,1,"P"
460322,0,0,0,0,0,"RF"
460576,63,62,140,4,0,"CF"
460701,7,0,0,0,0,"P"
461235,79,51,306,19,3,"1B"
461314,83,83,142,7,2,"RF"
461325,35,0,1,3,0,"P"
461416,5,3,6,0,0,"CF"
461791,0,0,0,0,0,"P"
461815,0,0,0,0,0,"LF"
461829,17,17,7,19,1,"P"
461833,12,11,3,6,0,"P"
461858,52,50,54,90,5,"3B"
461865,56,14,63,35,2,"3B"
461872,11,0,2,1,0,"P"
462101,81,81,138,246,7,"SS"
462110,0,0,0,0,0,""
462136,16,16,6,9,0,"P"
462382,30,0,0,7,0,"P"
462515,0,0,0,0,0,"P"
462945,0,0,0,0,0,"P"
462956,0,0,0,0,0,"P"
462985,2,0,0,0,0,"P"
463610,50,32,44,93,3,"2B"
463748,0,0,0,0,0,""
465041,48,47,327,34,5,"C"
465629,0,0,0,0,0,"P"
465657,38,0,4,7,0,"P"
465668,0,0,0,0,0,"LF"
465674,0,0,0,0,0,"2B"
465753,0,0,0,0,0,"3B"
466320,75,75,109,5,1,"LF"
466480,0,0,0,0,0,""
466948,0,0,0,0,0,"P"
466988,9,7,16,0,0,"CF"
467008,38,0,3,5,0,"P"
467055,2,1,1,3,1,"3B"
467070,0,0,0,0,0,"3B"
467092,72,66,633,32,2,"C"
467094,0,0,0,0,0,"P"
467100,18,12,4,6,1,"P"
467793,29,27,229,22,1,"DH"
467827,71,57,96,7,4,"LF"
468396,36,0,1,3,0,"P"
468504,17,15,12,12,0,"P"
471083,45,39,335,26,4,"C"
471822,15,0,0,1,0,"P"
471865,83,80,151,3,2,"RF"
471906,0,0,0,0,0,""
471911,11,11,4,5,0,"P"
472528,76,71,96,123,6,"3B"
472551,33,0,0,2,0,"P"
472610,2,0,0,0,0,"P"
473724,8,6,38,1,0,"C"
473879,44,0,2,6,0,"P"
474029,25,0,0,2,0,"P"
474039,0,0,0,0,0,"P"
474233,47,38,300,16,3,"C"
474249,0,0,0,0,0,"2B"
474284,14,1,0,2,0,"P"
474319,4,3,6,4,1,"3B"
474384,0,0,0,0,0,"1B"
474443,39,20,58,65,2,"SS"
474463,0,0,0,0,0,"P"
474494,0,0,0,0,0,"2B"
474521,32,0,4,5,0,"P"
474568,83,80,115,229,5,"SS"
474599,0,0,0,0,0,"P"
474668,9,9,3,2,1,"P"
474699,19,2,2,4,0,"P"
474832,84,81,729,52,8,"1B"
474892,82,80,696,43,7,"1B"
475054,3,0,0,0,0,"P"
475100,24,13,41,1,1,"LF"
475115,1,1,1,0,0,"P"
475138,1,0,1,0,0,"P"
475174,86,74,648,43,4,"1B"
475243,45,0,3,5,0,"P"
475247,47,35,26,82,3,"3B"
475253,69,53,512,29,1,"1B"
475479,41,0,2,6,1,"P"
475582,73,71,550,32,3,"1B"
475857,0,0,0,0,0,"P"
476123,0,0,0,0,0,"P"
476192,0,0,0,0,0,"C"
476205,0,0,0,0,0,"P"
476270,0,0,0,0,0,"2B"
476451,18,18,3,18,0,"P"
476454,42,0,1,2,1,"P"
476570,2,0,0,0,0,"P"
476589,26,1,0,4,1,"P"
476595,0,0,0,0,0,"P"
476633,6,2,21,4,0,"1B"
476704,66,62,106,188,6,"2B"
476883,11,6,0,5,3,"DH"
477003,17,17,7,13,1,"P"
477132,16,16,2,13,1,"P"
477165,48,39,63,39,6,"3B"
477195,8,4,39,3,0,"1B"
477229,0,0,0,0,0,"P"
477569,39,0,2,4,0,"P"
485567,62,41,80,5,1,"RF"
488671,39,37,292,14,2,"C"
488674,0,0,0,0,0,"P"
488681,32,17,42,3,0,"LF"
488689,0,0,0,0,0,"RF"
488721,81,67,121,1,1,"RF"
488726,11,10,18,1,0,"LF"
488748,40,0,0,1,0,"P"
488768,13,13,4,12,0,"P"
488771,65,60,493,25,4,"C"
488786,40,0,4,6,0,"P"
488787,0,0,0,0,0,"P"
488810,3,0,4,0,0,"C"
488818,45,35,45,63,2,"SS"
488846,7,0,1,0,0,"P"
488862,75,75,56,109,14,"3B"
488912,2,1,16,0,0,"C"
488984,20,0,0,1,0,"P"
489002,16,0,1,1,0,"P"
489039,0,0,0,0,0,"P"
489067,0,0,0,0,0,"RF"
489119,15,15,1,8,0,"P"
489138,0,0,0,0,0,"1B"
489149,69,65,488,36,3,"1B"
489197,1,0,0,0,0,"P"
489232,0,0,0,0,0,"C"
489265,6,0,0,0,0,"P"
489267,61,30,35,80,6,"3B"
489294,0,0,0,0,0,"P"
489295,0,0,0,0,0,"P"
489305,0,0,0,0,0,"1B"
489334,0,0,0,0,0,"P"
489365,31,23,176,14,1,"C"
489446,30,0,1,3,1,"P"
490063,5,5,2,1,2,"P"
491159,0,0,0,0,0,"P"
491624,0,0,0,0,0,""
491640,0,0,0,0,0,"3B"
491646,39,0,4,4,0,"P"
491676,0,0,0,0,0,"CF"
491696,1,1,8,1,0,"C"
491703,40,0,0,4,0,"P"
491708,30,0,0,3,0,"P"
492802,0,0,0,0,0,"C"
492841,32,12,21,8,2,"2B"
493114,65,62,113,2,1,"LF"
493128,1,0,0,0,0,"SS"
493157,35,0,0,4,1,"P"
493193,51,40,317,19,2,"1B"
493200,44,0,2,3,1,"P"
493247,16,0,1,3,2,"P"
493316,95,74,140,5,2,"LF"
493337,0,0,0,0,0,"P"
493343,5,5,7,0,0,"LF"
493351,85,83,110,226,12,"SS"
493472,21,17,105,15,1,"1B"
493596,37,26,29,68,1,"2B"
493603,2,0,1,0,0,"P"
497807,0,0,0,0,0,"P"
499624,9,8,74,3,0,"1B"
499882,0,0,0,0,0,""
500207,0,0,0,0,0,"C"
500208,52,43,35,98,8,"3B"
500610,17,0,3,2,0,"P"
500721,0,0,0,0,0,"P"
500724,34,0,4,2,1,"P"
500743,71,25,66,80,2,"2B"
500765,6,0,0,0,0,"P"
500779,17,17,1,7,1,"P"
500871,53,46,52,138,8,"SS"
500872,0,0,0,0,0,""
500874,0,0,0,0,0,"LF"
500887,0,0,0,0,0,"C"
501245,0,0,0,0,0,"LF"
501255,0,0,0,0,0,"LF"
501303,4,1,2,6,0,"SS"
501381,17,17,5,12,2,"P"
501563,0,0,0,0,0,"P"
501571,48,21,56,0,1,"CF"
501593,6,0,0,1,0,"P"
501625,40,0,1,5,0,"P"
501627,0,0,0,0,0,"P"
501659,5,2,8,0,0,"RF"
501697,16,0,0,4,0,"P"
501726,0,0,0,0,0,"SS"
501789,38,0,5,5,0,"P"
501800,0,0,0,0,0,"1B"
501817,35,0,3,1,0,"P"
501822,33,0,3,4,1,"P"
501888,3,1,3,0,0,"LF"
501896,74,58,186,115,7,"3B"
501925,29,0,1,6,0,"P"
501936,3,0,0,0,0,"P"
501954,0,0,0,0,0,""
501955,20,0,0,5,0,"P"
501957,18,18,2,6,1,"P"
501981,44,44,71,1,0,"LF"
501983,0,0,0,0,0,"RF"
501985,0,0,0,0,0,"P"
501986,12,9,17,1,0,"LF"
501989,0,0,0,0,0,"P"
501992,18,15,8,4,2,"P"
502003,0,0,0,0,0,"3B"
502004,30,0,3,5,0,"P"
502009,11,11,2,9,0,"P"
502026,39,0,3,7,0,"P"
502028,39,0,0,2,0,"P"
502032,24,12,5,6,1,"P"
502034,8,3,9,2,0,"2B"
502042,19,19,11,8,1,"P"
502043,10,10,6,11,0,"P"
502046,17,17,2,15,2,"P"
502051,0,0,0,0,0,"P"
502054,17,10,13,0,0,"CF"
502082,65,55,108,4,2,"RF"
502083,30,1,3,2,0,"P"
502085,35,0,2,4,0,"P"
502087,0,0,0,0,0,"P"
502089,0,0,0,0,0,""
502100,30,25,55,1,1,"LF"
502102,0,0,0,0,0,"P"
502110,64,64,116,1,4,"RF"
502117,0,0,0,0,0,"2B"
502126,0,0,0,0,0,"RF"
502130,0,0,0,0,0,"P"
502143,65,65,41,118,11,"3B"
502154,36,0,1,11,0,"P"
502162,0,0,0,0,0,"P"
502166,0,0,0,0,0,"P"
502171,0,0,0,0,0,"P"
502179,0,0,0,0,0,""
502182,20,20,152,11,2,"C"
502188,18,18,3,12,0,"P"
502190,17,17,17,20,2,"P"
502202,1,0,0,1,0,"P"
502205,7,7,8,15,1,"2B"
502210,51,48,92,3,2,"RF"
502211,6,6,1,4,0,"P"
502213,0,0,0,0,0,"C"
502226,13,10,28,1,1,"LF"
502239,33,0,2,7,1,"P"
502260,0,0,0,0,0,"P"
502261,8,5,16,1,1,"CF"
502272,32,0,4,4,0,"P"
502285,21,8,15,32,1,"2B"
502317,22,11,28,0,0,"LF"
502327,18,18,6,15,0,"P"
502368,0,0,0,0,0,"P"
502374,0,0,0,0,0,"C"
502381,39,0,2,10,0,"P"
502409,0,0,0,0,0,"SS"
502457,6,0,0,1,0,"P"
502481,56,45,98,7,1,"CF"
502517,84,81,150,184,6,"2B"
502522,31,0,1,2,0,"P"
502523,35,15,37,20,2,"SS"
502544,0,0,0,0,0,"LF"
502570,0,0,0,0,0,"C"
502578,0,0,0,0,0,"P"
502593,9,0,1,3,0,"P"
502620,0,0,0,0,0,""
502624,16,16,4,11,1,"P"
502671,86,86,790,71,2,"1B"
502676,9,2,2,10,0,"2B"
502706,14,14,2,5,2,"P"
502748,0,0,0,0,0,"P"
503285,22,0,1,0,0,"P"
503351,0,0,0,0,0,"1B"
503437,0,0,0,0,0,"3B"
503444,3,2,0,1,0,"P"
503449,13,13,3,7,2,"P"
503556,76,58,364,87,4,"1B"
504083,2,0,1,0,0,"P"
504186,2,0,0,0,0,"P"
504379,19,12,6,7,0,"P"
506433,3,3,1,0,0,"P"
506560,38,18,36,45,2,"3B"
506693,0,0,0,0,0,"P"
506702,16,11,109,9,1,"C"
506747,9,9,63,3,0,"C"
506997,0,0,0,0,0,"C"
514669,1,0,0,0,0,"P"
514888,84,82,130,212,3,"2B"
514913,31,15,9,44,6,"SS"
514917,80,75,116,197,8,"2B"
514981,0,0,0,0,0,"P"
515052,5,0,0,0,0,"P"
515768,0,0,0,0,0,""
516414,1,0,0,0,0,"P"
516416,92,80,136,244,3,"2B"
516472,0,0,0,0,0,""
516679,0,0,0,0,0,""
516684,0,0,0,0,0,"P"
516685,0,0,0,0,0,""
516689,0,0,0,0,0,""
516714,10,0,0,0,0,"P"
516770,86,82,115,211,5,"2B"
516782,82,74,113,9,3,"LF"
516809,10,5,11,0,0,"RF"
516811,0,0,0,0,0,"LF"
516910,1,0,0,0,0,"P"
516935,0,0,0,0,0,"P"
516949,6,3,37,1,2,"1B"
516969,40,0,2,2,0,"P"
517008,30,0,2,3,0,"P"
517355,0,0,0,0,0,""
517369,13,10,10,16,1,"LF"
517370,20,11,26,7,3,"RF"
517414,37,0,3,5,0,"P"
517448,6,1,1,5,0,"P"
517593,16,16,2,6,0,"P"
517629,0,0,0,0,0,"P"
518397,9,0,0,1,0,"P"
518418,0,0,0,0,0,"P"
518420,0,0,0,0,0,"P"
518445,0,0,0,0,0,"P"
518452,18,18,3,17,2,"P"
518466,7,3,5,0,0,"RF"
518468,32,0,1,2,1,"P"
518489,0,0,0,0,0,"P"
518490,8,7,14,0,1,"LF"
518493,0,0,0,0,0,"P"
518516,18,18,1,11,0,"P"
518542,23,20,143,12,2,"C"
518553,36,0,0,4,0,"P"
518560,5,2,0,0,1,"P"
518566,0,0,0,0,0,""
518567,12,0,3,2,0,"P"
518568,27,21,23,64,0,"2B"
518577,8,4,10,0,0,"RF"
518586,12,7,7,11,1,"SS"
518595,26,25,232,12,0,"C"
518603,0,0,0,0,0,"P"
518614,17,13,63,21,0,"1B"
518617,39,0,1,4,0,"P"
518618,68,62,116,133,4,"2B"
518625,4,3,16,4,0,"3B"
518626,75,75,63,132,6,"3B"
518633,27,11,1,13,0,"P"
518649,10,10,15,0,0,"RF"
518653,2,1,4,5,0,"LF"
518692,86,86,715,62,4,"1B"
518693,7,0,0,1,1,"P"
518700,26,10,82,9,0,"C"
518703,0,0,0,0,0,"P"
518715,41,0,2,5,0,"P"
518716,17,4,1,6,2,"P"
518735,59,53,516,32,2,"C"
518748,39,0,1,4,0,"P"
518771,0,0,0,0,0,"P"
518774,17,17,5,17,1,"P"
518782,0,0,0,0,0,"P"
518790,4,0,0,0,0,"P"
518792,85,73,162,1,0,"RF"
518794,0,0,0,0,0,"2B"
518830,0,0,0,0,0,""
518852,0,0,0,0,0,"P"
518854,0,0,0,0,0,"P"
518858,40,0,1,9,0,"P"
518863,0,0,0,0,0,"P"
518875,37,0,2,1,0,"P"
518883,11,0,2,2,0,"P"
518886,34,0,0,0,0,"P"
518902,0,0,0,0,0,"SS"
518911,0,0,0,0,0,"RF"
518927,27,0,3,4,1,"P"
518934,78,76,149,227,5,"2B"
518953,26,17,38,1,0,"LF"
518960,75,71,516,40,5,"C"
518991,6,3,4,0,0,"RF"
519003,0,0,0,0,0,"P"
519008,15,0,0,3,0,"P"
519015,0,0,0,0,0,"P"
519023,13,13,92,6,1,"C"
519025,1,1,1,0,0,"3B"
519043,17,17,6,13,1,"P"
519048,73,65,571,38,1,"1B"
519058,26,26,29,40,2,"3B"
519068,0,0,0,0,0,"LF"
519071,0,0,0,0,0,"SS"
519076,18,18,5,19,2,"P"
519082,0,0,0,0,0,"SS"
519083,70,67,549,47,5,"C"
519085,20,0,1,7,2,"P"
519096,30,0,2,5,0,"P"
519105,0,0,0,0,0,"P"
519107,0,0,0,0,0,"SS"
519141,17,17,2,10,1,"P"
519144,17,17,4,6,0,"P"
519151,44,0,1,5,0,"P"
519166,16,0,1,2,0,"P"
519168,2,0,0,1,0,"P"
519179,0,0,0,0,0,""
519184,61,49,91,1,2,"CF"
519186,0,0,0,0,0,"P"
519203,82,81,700,61,4,"1B"
519208,24,18,128,5,0,"1B"
519222,32,26,196,16,0,"C"
519237,55,55,465,23,4,"C"
519240,41,0,2,1,2,"P"
519242,18,18,6,10,0,"P"
519263,29,0,1,6,0,"P"
519267,0,0,0,0,0,"P"
519293,18,0,0,1,0,"P"
