Role,fullname,Date,POS,Team,MLBId,Fielding.Petition
#8,Andrelton Simmons,NA,SS,LAA,592743,NO
#9,Jett Bandy,NA,CA,LAA,542908,NO
Bench,C.J. Cron,NA,1B,LAA,543068,NO
Bench,Eduardo Escobar,NA,SS,LAA,500871,NO
Bench,Rene Rivera,NA,LF,LAA,425784,NO
Bench,Mason Williams,NA,CF,LAA,592863,NO
SP1,Rich Hill,2017-04-04,SP,OAK,448179,NO
SP2,Sean Manaea,2017-04-07,SP,OAK,640455,NO
SP3,Luis Perdomo,2017-04-08,SP,OAK,606131,NO
SP4,Raul Alcantara,2017-04-05,SP,OAK,593417,NO
SP5,Dylan Covey,2017-04-05,SP,OAK,592229,NO
CLOSER,John Axford,NA,RP,OAK,446099,NO
RP1,Ryan Madson,NA,RP,OAK,425492,NO
RP2,Greg Holland,NA,RP,OAK,518813,NO
RP3,Daniel Coulombe,NA,RP,OAK,543056,NO
RP4,Dario Alvarez,NA,RP,OAK,516714,NO
RP5,Dillon Overton,NA,RP,OAK,592614,NO
RP6,Bobby Wahl,NA,RP,OAK,592833,NO
#1,Carlos Gomez,NA,CF,OAK,460576,NO
#2,Jed Lowrie,NA,2B,OAK,476704,NO
#3,Mike Napoli,NA,1B,OAK,435063,NO
#4,Danny Valencia,NA,3B,OAK,502143,NO
#5,Ryon Healy,NA,DH,OAK,592387,NO
#6,Travis Jankowski,NA,RF,OAK,608671,NO
#7,Miguel Montero,NA,CA,OAK,471083,NO
#8,Delino DeShields Jr.,NA,LF,OAK,592261,NO
#9,Ivan De Jesus Jr,NA,SS,OAK,474443,NO
Bench,Billy Burns,NA,CF,OAK,542993,NO
Bench,Ben Gamel,NA,LF,OAK,592325,NO
Bench,Max Muncy,NA,1B,OAK,571970,NO
Bench,Josh Phegley,NA,CA,OAK,572033,NO
SP1,Hisashi Iwakuma,2017-04-04,SP,SEA,547874,NO
SP2,Ricky Nolasco,2017-04-07,SP,SEA,445060,NO
SP3,Michael Pineda,2017-04-08,SP,SEA,501381,NO
SP4,Nate Karns,2017-04-05,SP,SEA,501992,NO
SP5,Chris Lee,2017-04-05,SP,SEA,595296,NO
CLOSER,Brandon Kintzler,NA,RP,SEA,445213,NO
RP1,Jason Grilli,NA,RP,SEA,276351,NO
RP2,Nick Vincent,NA,RP,SEA,543883,NO
RP3,Juan Nicasio,NA,RP,SEA,504379,NO
RP4,Evan Scribner,NA,RP,SEA,519267,NO
RP5,Drew Storen,NA,RP,SEA,519322,NO
RP6,Blake Parker,NA,RP,SEA,453284,NO
#1,Leonys Martin,NA,CF,SEA,547982,NO
#2,Eddie Rosario,NA,LF,SEA,592696,NO
#3,Robinson Cano,NA,2B,SEA,429664,NO
#4,Chase Headley,NA,3B,SEA,452104,NO
#5,Logan Morrison,NA,1B,SEA,489149,NO
#6,Joey Gallo,NA,DH,SEA,608336,NO
#7,Jesus Sucre,NA,CA,SEA,491696,NO
#8,Guillermo Heredia,NA,RF,SEA,628338,NO
#9,Ketel Marte,NA,SS,SEA,606466,NO
Bench,Luis Sardinas,NA,3B,SEA,596143,NO
Bench,Chris Iannetta,NA,CA,SEA,455104,NO
Bench,Boog Powell,NA,1B,SEA,621471,NO
Bench,Chris Taylor,NA,SS,SEA,621035,NO
SP1,Yu Darvish,2017-04-04,SP,TEX,506433,NO
SP2,Jose Quintana,2017-04-07,SP,TEX,500779,NO
SP3,Gio Gonzalez,2017-04-05,SP,TEX,461829,NO
SP4,Daniel Norris,2017-04-05,SP,TEX,596057,NO
CLOSER,Nate Jones,NA,RP,TEX,518858,NO
RP1,Dellin Betances,NA,RP,TEX,476454,NO
RP2,Corey Knebel,NA,RP,TEX,608349,NO
RP3,Tony Barnette,NA,RP,TEX,501817,NO
RP4,Alex Claudio,NA,RP,TEX,592222,NO
RP5,Shane Greene,NA,RP,TEX,572888,NO
RP6,Sam Dyson,NA,RP,TEX,473879,NO
#1,Kyle Seager,NA,3B,TEX,572122,NO
#2,Yoenis Cespedes,NA,LF,TEX,493316,NO
#3,Nelson Cruz,NA,DH,TEX,443558,NO
#4,Edwin Encarnacion,NA,1B,TEX,429665,NO
#5,Rougned Odor,NA,2B,TEX,596059,NO
#6,Jonathan Lucroy,NA,CA,TEX,518960,NO
#7,Nomar Mazara,NA,RF,TEX,608577,NO
#8,Ender Inciarte,NA,CF,TEX,542255,NO
#9,Jose Iglesias,NA,SS,TEX,578428,NO
Bench,Robinson Chirinos,NA,CA,TEX,455139,NO
Bench,Andres Blanco,NA,2B,TEX,433217,NO
Bench,Austin Jackson,NA,LF,TEX,457706,NO
Bench,Ryan Rua,NA,1B,TEX,607387,NO
Bench,Steve Pearce,NA,LF,TEX,456665,NO
SP1,Bartolo Colon,2017-04-07,SP,CHA,112526,NO
SP2,Miguel Gonzalez,2017-04-05,SP,CHA,456068,NO
SP3,R.A. Dickey,2017-04-05,SP,CHA,285079,NO
SP4,James Shields,2017-04-05,SP,CHA,448306,NO
CLOSER,Tony Cingrani,NA,RP,CHA,571561,NO
RP1,Dan Jennings,NA,RP,CHA,543359,NO
RP2,Neil Ramirez,NA,RP,CHA,519166,NO
RP3,Jake Petricka,NA,RP,CHA,502593,NO
RP4,Tom Wilhelmsen,NA,RP,CHA,452666,NO
RP5,Jumbo Diaz,NA,RP,CHA,471822,NO
RP6,Oliver Perez,NA,RP,CHA,424144,NO
RP7,Kirby Yates,NA,RP,CHA,489446,NO
#1,Adam Eaton,NA,CF,CHA,594809,NO
#2,Tyler Saladino,NA,2B,CHA,573135,NO
#3,Jose Abreu,NA,1B,CHA,547989,NO
#4,Eric Thames,NA,DH,CHA,519346,NO
#5,Brandon Moss,NA,LF,CHA,461235,NO
#6,Tim Anderson,NA,SS,CHA,641313,NO
#7,Omar Narvaez,NA,CA,CHA,553882,NO
#8,Trevor Plouffe,NA,3B,CHA,461858,NO
#9,Jairo Beras,NA,RF,CHA,620440,NO
Bench,Jarrod Saltalamacchia,NA,CA,CHA,457454,NO
Bench,Leury Garcia,NA,2B,CHA,544725,NO
Bench,Yolmer Sanchez,NA,2B,CHA,570560,NO
Bench,Matt Davidson,NA,3B,CHA,571602,NO
SP1,Corey Kluber,2017-04-04,SP,CLE,446372,NO
SP2,Carlos Carrasco,2017-04-07,SP,CLE,471911,NO
SP3,Danny Salazar,2017-04-05,SP,CLE,517593,NO
SP4,Trevor Bauer,2017-04-05,SP,CLE,545333,NO
SP5,Josh Tomlin,2017-04-08,SP,CLE,458708,NO
CLOSER,Dan Otero,NA,RP,CLE,519096,NO
RP1,Neftali Feliz,NA,RP,CLE,491703,NO
RP2,Jim Johnson,NA,RP,CLE,462382,NO
RP3,Erasmo Ramirez,NA,RP,CLE,541640,NO
RP4,Eric O'Flaherty,NA,RP,CLE,447714,NO
RP5,Zach McAllister,NA,RP,CLE,502083,NO
RP6,Trevor Cahill,NA,RP,CLE,502239,NO
#1,Carlos Santana,NA,1B,CLE,467793,NO
#2,Francisco Lindor,NA,SS,CLE,596019,NO
#3,Nolan Arenado,NA,3B,CLE,571448,NO
#4,Matt Holliday,NA,DH,CLE,407812,NO
#5,Michael Brantley,NA,LF,CLE,488726,NO
#6,Jose Ramirez,NA,RF,CLE,608070,NO
#7,Javier Baez,NA,2B,CLE,595879,NO
#8,Anthony Recker,NA,CA,CLE,489232,NO
#9,Tyler Naquin,NA,CF,CLE,571980,NO
Bench,Roberto Perez,NA,CA,CLE,547379,NO
Bench,Abraham Almonte,NA,CF,CLE,501659,NO
Bench,Franklin Gutierrez,NA,LF,CLE,429711,NO
Bench,Jesus Aguilar,NA,1B,CLE,542583,NO
SP1,Matt Boyd,2017-04-07,SP,DET,571510,NO
SP2,Michael Fulmer,2017-04-08,SP,DET,605242,NO
SP3,Ubaldo Jimenez,2017-04-05,SP,DET,434622,NO
SP4,Jordan Zimmerman,2017-04-05,SP,DET,519455,NO
SP5,Lucas Harrell,2017-04-05,SP,DET,449173,NO
CLOSER,Ryan Pressly,NA,RP,DET,519151,NO
RP1,Alex Wilson,NA,RP,DET,543935,NO
RP2,Justin Wilson,NA,RP,DET,458677,NO
RP3,Mike Dunn,NA,RP,DET,445197,NO
RP4,Anibal Sanchez,NA,RP,DET,434671,NO
RP5,Nick Maronde,NA,RP,DET,543488,NO
RP6,Corey Littrell,NA,RP,DET,592511,NO
#1,Elvis Andrus,NA,SS,DET,462101,NO
#2,Justin Upton,NA,LF,DET,457708,NO
#3,Miguel Cabrera,NA,1B,DET,408234,NO
#4,Victor Martinez,NA,DH,DET,400121,NO
#5,Todd Frazier,NA,3B,DET,453943,NO
#6,Brandon Guyer,NA,RF,DET,446386,NO
#7,Tyler Collins,NA,CF,DET,607385,NO
#8,Stuart Turner,NA,CA,DET,642156,NO
#9,Chris Bostick,NA,2B,DET,607471,NO
Bench,Anthony Gose,NA,CF,DET,543238,NO
Bench,Alex Avila,NA,CA,DET,488671,NO
Bench,Andrew Romine,NA,2B,DET,461865,NO
Bench,Michael Bourn,NA,LF,DET,456422,NO
SP1,Danny Duffy,2017-04-04,SP,KC,518633,NO
SP2,Jason Hammel,2017-04-07,SP,KC,434628,NO
SP3,Jason Vargas,2017-04-08,SP,KC,450306,NO
SP4,Brandon McCarthy,2017-04-05,SP,KC,435221,NO
SP5,Tommy Milone,2017-04-05,SP,KC,543548,NO
CLOSER,Adam Ottavino,NA,RP,KC,493603,NO
RP1,Mike Minor,NA,RP,KC,501985,NO
RP2,George Kontos,NA,RP,KC,502004,NO
RP3,Joakim Soria,NA,RP,KC,465657,NO
RP4,Matthew Strahm,NA,RP,KC,621381,NO
RP5,Alec Mills,NA,RP,KC,621219,NO
RP6,Tyrell Jenkins,NA,RP,KC,592433,NO
#1,Yunel Escobar,NA,3B,KC,488862,NO
#2,Alex Gordon,NA,LF,KC,460086,NO
#3,Adam Jones,NA,CF,KC,430945,NO
#4,Travis Shaw,NA,1B,KC,543768,NO
#5,Salvador Perez,NA,CA,KC,521692,NO
#6,Chris Young,NA,DH,KC,455759,NO
#7,Jarrod Dyson,NA,RF,KC,502481,NO
#8,Alcides Escobar,NA,SS,KC,444876,NO
#9,Raul Mondesi,NA,2B,KC,609275,NO
Bench,Kennys Vargas,NA,1B,KC,573627,NO
Bench,Cheslor Cuthbert,NA,3B,KC,596144,NO
Bench,Whit Merrifield,NA,2B,KC,593160,NO
Bench,Tuffy Gosewisch,NA,CA,KC,488912,NO
SP1,Ervin Santana,2017-04-04,SP,MIN,429722,NO
SP2,Antonio Senzatela,2017-04-07,SP,MIN,622608,NO
SP3,Phil Hughes,2017-04-08,SP,MIN,461833,NO
SP4,Adalberto Mejia,2017-04-05,SP,MIN,606167,NO
CLOSER,J.P. Howell,NA,RP,MIN,434442,NO
RP1,Chasen Shreve,NA,RP,MIN,592741,NO
RP2,Tyler Duffey,NA,RP,MIN,608648,NO
RP3,Michael Tonkin,NA,RP,MIN,543859,NO
RP4,Scott Oberg,NA,RP,MIN,623184,NO
RP5,Taylor Rogers,NA,RP,MIN,573124,NO
RP6,Blake Wood,NA,RP,MIN,502028,NO
RP7,Marcos Molina,NA,RP,MIN,622506,NO
#1,Joe Mauer,NA,1B,MIN,408045,NO
#2,Francisco Cervelli,NA,CA,MIN,465041,NO
#3,Matt Joyce,NA,LF,MIN,459964,NO
#4,Miguel Sano,NA,3B,MIN,593934,NO
#5,Max Kepler,NA,RF,MIN,596146,NO
#6,Jhonny Peralta,NA,SS,MIN,425509,NO
#7,Jorge Polanco,NA,2B,MIN,593871,NO
#8,Robbie Grossman,NA,DH,MIN,543257,NO
#9,Danny Santana,NA,CF,MIN,542454,NO
Bench,Allen Cordoba,NA,SS,MIN,642707,NO
Bench,Cory Spangenberg,NA,2B,MIN,605486,NO
Bench,Reymond Fuentes,NA,RF,MIN,571681,NO
Bench,Carlos E. Perez,NA,CA,MIN,542208,NO
SP1,Stephen Strasburg,2017-04-04,SP,BAL,544931,NO
SP2,Kevin Gausman,2017-04-08,SP,BAL,592332,NO
SP3,James Paxton,2017-04-05,SP,BAL,572020,NO
SP4,Jesse Chavez,2017-04-05,SP,BAL,445926,NO
SP5,Yovani Gallardo,2017-04-05,SP,BAL,451596,NO
CLOSER,Zach Britton,NA,RP,BAL,502154,NO
RP1,Mychal Givens,NA,RP,BAL,571710,NO
RP2,Brad Brach,NA,RP,BAL,542960,NO
RP3,Darren O'Day,NA,RP,BAL,503285,NO
RP4,Jhan Marinez,NA,RP,BAL,501697,NO
RP5,Matt Belisle,NA,RP,BAL,279571,NO
RP6,Junichi Tazawa,NA,RP,BAL,547749,NO
RP7,Jarred Cosart,NA,RP,BAL,543054,NO
#1,Hyun-soo Kim,NA,LF,BAL,547957,NO
#2,Matt Wieters,NA,CA,BAL,446308,NO
#3,Justin Turner,NA,3B,BAL,457759,NO
#4,Mark Trumbo,NA,DH,BAL,444432,NO
#5,Wil Myers,NA,1B,BAL,571976,NO
#6,Andrew McCutchen,NA,RF,BAL,457705,NO
#7,Byron Buxton,NA,CF,BAL,621439,NO
#8,Jonathan Schoop,NA,2B,BAL,570731,NO
#9,J.J. Hardy,NA,SS,BAL,429666,NO
Bench,Mike Zunino,NA,CA,BAL,572287,NO
Bench,Joey Rickard,NA,LF,BAL,572073,NO
Bench,Adam Lind,NA,1B,BAL,452252,NO
SP1,Rick Porcello,2017-04-04,SP,BOS,519144,NO
SP2,Cole Hamels,2017-04-08,SP,BOS,430935,NO
SP3,Steven Wright,2017-04-05,SP,BOS,453214,NO
SP4,Eduardo Rodriguez,2017-04-05,SP,BOS,593958,NO
SP5,Henry Owens,2017-04-05,SP,BOS,596064,NO
CLOSER,Craig Kimbrel,NA,RP,BOS,518886,NO
RP1,Joe Kelly,NA,RP,BOS,523260,NO
RP2,Matt Barnes,NA,RP,BOS,598264,NO
RP3,Robbie Ross,NA,RP,BOS,543726,NO
RP4,Heath Hembree,NA,RP,BOS,592390,NO
RP5,Tommy Layne,NA,RP,BOS,518927,NO
RP6,Ben Taylor,NA,RP,BOS,664701,NO
#1,Dustin Pedroia,NA,2B,BOS,456030,NO
#2,Andrew Benintendi,NA,LF,BOS,643217,NO
#3,Kendrys Morales,NA,1B,BOS,434778,NO
#4,Pablo Sandoval,NA,3B,BOS,467055,NO
#5,Jackie Bradley Jr.,NA,CF,BOS,598265,NO
#6,Sandy Leon,NA,DH,BOS,506702,NO
#7,Christian Vazquez,NA,CA,BOS,543877,NO
#8,Marco Hernandez,NA,SS,BOS,593523,NO
#9,Jacoby Ellsbury,NA,RF,BOS,453056,NO
Bench,Mookie Betts,NA,RF,BOS,605141,NO
Bench,Xander Bogaerts,NA,SS,BOS,593428,NO
Bench,Hanley Ramirez,NA,1B,BOS,434670,NO
Bench,Deven Marrero,NA,3B,BOS,571918,NO
SP1,Marcus Stroman,2017-04-04,SP,TOR,573186,NO
SP2,Marco Estrada,2017-04-07,SP,TOR,462136,NO
SP3,J.A. Happ,2017-04-08,SP,TOR,457918,NO
SP4,Francisco Liriano,2017-04-05,SP,TOR,434538,NO
SP5,Aaron Sanchez,2017-04-05,SP,TOR,592717,NO
CLOSER,Joe Biagini,NA,RP,TOR,607352,NO
RP1,Danny Farquhar,NA,RP,TOR,543144,NO
RP2,Aaron Loup,NA,RP,TOR,571901,NO
RP3,Ryan Tepera,NA,RP,TOR,572193,NO
RP4,Ben Rowen,NA,RP,TOR,594985,NO
RP5,Chad Girodo,NA,RP,TOR,643325,NO
RP6,Ryan Borucki,NA,RP,TOR,621366,NO
#1,Devon Travis,NA,DH,TOR,581527,NO
#2,John Jaso,NA,1B,TOR,444379,NO
#3,Josh Donaldson,NA,3B,TOR,518626,NO
#4,Jose Bautista,NA,RF,TOR,430832,NO
#5,Troy Tulowitzki,NA,SS,TOR,453064,NO
#6,Russell Martin,NA,CA,TOR,431145,NO
#7,Kevin Pillar,NA,CF,TOR,607680,NO
#8,Ezequiel Carrera,NA,LF,TOR,485567,NO
#9,Ryan Goins,NA,2B,TOR,572365,NO
Bench,Darwin Barney,NA,2B,TOR,446381,NO
Bench,Darrell Ceciliani,NA,RF,TOR,571553,NO
Bench,Chris Colabello,NA,1B,TOR,499624,NO
Bench,Josh Thole,NA,CA,TOR,489365,NO
SP1,Jon Gray,2017-04-04,SP,COL,592351,NO
SP2,Tyler Chatwood,2017-04-07,SP,COL,543022,NO
SP3,Tyler Anderson,2017-04-08,SP,COL,542881,NO
SP4,Kyle Freeland,2017-04-05,SP,COL,607536,NO
SP5,Eddie Butler,2017-04-05,SP,COL,572750,NO
