"Date","Visit","Home","DH","Rain","Away_Score","Home_Score"
2017-04-14,"NYN","PHI",NA,NA,NA,NA
2017-04-14,"STL","WAS",NA,NA,NA,NA
2017-04-15,"BAL","BOS",NA,NA,NA,NA
2017-04-15,"CHA","CLE",NA,NA,NA,NA
2017-04-15,"MIN","DET",NA,NA,NA,NA
2017-04-15,"HOU","SEA",NA,NA,NA,NA
2017-04-15,"OAK","KC",NA,NA,NA,NA
2017-04-15,"TEX","LAA",NA,NA,NA,NA
2017-04-15,"TB","NYA",NA,NA,NA,NA
2017-04-15,"MIL","TOR",NA,NA,NA,NA
2017-04-15,"ARI","SF",NA,NA,NA,NA
2017-04-15,"ATL","MIA",NA,NA,NA,NA
2017-04-15,"LAN","CHN",NA,NA,NA,NA
2017-04-15,"CIN","PIT",NA,NA,NA,NA
2017-04-15,"SD","COL",NA,NA,NA,NA
2017-04-15,"NYN","PHI",NA,NA,NA,NA
2017-04-15,"STL","WAS",NA,NA,NA,NA
2017-04-16,"BAL","TOR",NA,NA,NA,NA
2017-04-16,"CHA","CLE",NA,NA,NA,NA
2017-04-16,"MIN","DET",NA,NA,NA,NA
2017-04-16,"OAK","KC",NA,NA,NA,NA
2017-04-16,"TEX","LAA",NA,NA,NA,NA
2017-04-16,"TB","NYA",NA,NA,NA,NA
2017-04-16,"LAN","CHN",NA,NA,NA,NA
2017-04-16,"MIL","CIN",NA,NA,NA,NA
2017-04-16,"COL","SF",NA,NA,NA,NA
2017-04-16,"NYN","MIA",NA,NA,NA,NA
2017-04-17,"BAL","TOR",NA,NA,NA,NA
2017-04-17,"TB","BOS",NA,NA,NA,NA
2017-04-17,"CHA","MIN",NA,NA,NA,NA
2017-04-17,"DET","CLE",NA,NA,NA,NA
2017-04-17,"HOU","OAK",NA,NA,NA,NA
2017-04-17,"LAA","KC",NA,NA,NA,NA
2017-04-17,"STL","NYA",NA,NA,NA,NA
2017-04-17,"TEX","SEA",NA,NA,NA,NA
2017-04-17,"ARI","LAN",NA,NA,NA,NA
2017-04-17,"SD","ATL",NA,NA,NA,NA
2017-04-17,"PIT","CHN",NA,NA,NA,NA
2017-04-17,"MIL","CIN",NA,NA,NA,NA
2017-04-17,"COL","SF",NA,NA,NA,NA
2017-04-17,"NYN","MIA",NA,NA,NA,NA
2017-04-17,"PHI","WAS",NA,NA,NA,NA
2017-04-18,"BAL","TOR",NA,NA,NA,NA
2017-04-18,"TB","BOS",NA,NA,NA,NA
2017-04-18,"CHA","MIN",NA,NA,NA,NA
2017-04-18,"DET","CLE",NA,NA,NA,NA
2017-04-18,"HOU","OAK",NA,NA,NA,NA
2017-04-18,"LAA","KC",NA,NA,NA,NA
2017-04-18,"STL","NYA",NA,NA,NA,NA
2017-04-18,"TEX","SEA",NA,NA,NA,NA
2017-04-18,"ARI","LAN",NA,NA,NA,NA
2017-04-18,"SD","ATL",NA,NA,NA,NA
2017-04-18,"PIT","CHN",NA,NA,NA,NA
2017-04-18,"MIL","CIN",NA,NA,NA,NA
2017-04-18,"COL","SF",NA,NA,NA,NA
2017-04-18,"NYN","MIA",NA,NA,NA,NA
2017-04-18,"PHI","WAS",NA,NA,NA,NA
2017-04-19,"BAL","TOR",NA,NA,NA,NA
2017-04-19,"TB","BOS",NA,NA,NA,NA
2017-04-19,"CHA","MIN",NA,NA,NA,NA
2017-04-19,"DET","CLE",NA,NA,NA,NA
2017-04-19,"HOU","OAK",NA,NA,NA,NA
2017-04-19,"LAA","KC",NA,NA,NA,NA
2017-04-19,"STL","NYA",NA,NA,NA,NA
2017-04-19,"TEX","SEA",NA,NA,NA,NA
2017-04-19,"ARI","LAN",NA,NA,NA,NA
2017-04-19,"SD","ATL",NA,NA,NA,NA
2017-04-19,"PIT","CHN",NA,NA,NA,NA
2017-04-19,"MIL","CIN",NA,NA,NA,NA
2017-04-19,"COL","SF",NA,NA,NA,NA
2017-04-19,"NYN","MIA",NA,NA,NA,NA
2017-04-19,"PHI","WAS",NA,NA,NA,NA
2017-04-20,"TB","BOS",NA,NA,NA,NA
2017-04-20,"CHA","NYA",NA,NA,NA,NA
2017-04-20,"CLE","MIN",NA,NA,NA,NA
2017-04-20,"LAA","HOU",NA,NA,NA,NA
2017-04-20,"TEX","OAK",NA,NA,NA,NA
2017-04-20,"MIA","SEA",NA,NA,NA,NA
2017-04-20,"ARI","LAN",NA,NA,NA,NA
2017-04-20,"SD","ATL",NA,NA,NA,NA
2017-04-20,"MIL","CHN",NA,NA,NA,NA
2017-04-20,"PIT","STL",NA,NA,NA,NA
2017-04-21,"BAL","CIN",NA,NA,NA,NA
2017-04-21,"BOS","TOR",NA,NA,NA,NA
2017-04-21,"CHA","NYA",NA,NA,NA,NA
2017-04-21,"CLE","MIN",NA,NA,NA,NA
2017-04-21,"DET","TB",NA,NA,NA,NA
2017-04-21,"LAA","HOU",NA,NA,NA,NA
2017-04-21,"SF","KC",NA,NA,NA,NA
2017-04-21,"TEX","OAK",NA,NA,NA,NA
2017-04-21,"MIA","SEA",NA,NA,NA,NA
2017-04-21,"ARI","SD",NA,NA,NA,NA
2017-04-21,"WAS","ATL",NA,NA,NA,NA
2017-04-21,"MIL","CHN",NA,NA,NA,NA
2017-04-21,"COL","LAN",NA,NA,NA,NA
2017-04-21,"PHI","NYN",NA,NA,NA,NA
2017-04-21,"PIT","STL",NA,NA,NA,NA
2017-04-22,"BAL","CIN",NA,NA,NA,NA
2017-04-22,"BOS","TOR",NA,NA,NA,NA
2017-04-22,"CHA","NYA",NA,NA,NA,NA
2017-04-22,"CLE","MIN",NA,NA,NA,NA
