GameId,GameString,GameDate,LastName,FirstName,MLBId,PlayerName,PlayerId,Team,TeamNbr,Pos,PrevDayGamesPlayed,G,GS,INN,PO,A,E,DP,TP,PB,FPctP,SB,CS,PKOF,FPctC,Outs,Chances,Zone,FPct,Pivots2B,Cint,Cer,Cera,Efield,Ethrow
,,,Perez,Roberto,547379,"Perez Roberto",2900,CLE,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Burriss,Emmanuel Allen,502034,"Burriss Emmanuel",2917,PHI,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Pagan,Angel,434636,"Pagan Angel",2918,SF,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Locke,Jeff,502046,"Locke Jeff",2929,PIT,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Ravin,Joshua,502051,"Ravin Josh",2951,LAN,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Pham,Thomas James,502054,"Pham Tommy",2967,STL,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Napoli,Michael,435063,"Napoli Mike",3057,CLE,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Moreland,Mitchell,519048,"Moreland Mitch",3086,TEX,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Jansen,Kenley,445276,"Jansen Kenley",3096,LAN,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Blanco,Gregor,453923,"Blanco Gregor",3123,SF,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Below,Duane Arthur,502102,"Below Duane",3124,NYN,,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Watson,Anthony,453265,"Watson Tony",3132,PIT,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Scherzer,Max,453286,"Scherzer Max",3137,WAS,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Chirinos,Robinson,455139,"Chirinos Robinson",3142,TEX,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Brown,Domonic Larun,502126,"Brown Domonic",3154,TOR,,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Collins,Tim M.,525768,"Collins Tim",3164,KC,,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Choo,Shin-Soo,425783,"Choo Shin-Soo",3174,TEX,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Navarro,Dioner,425900,"Navarro Dioner",3179,TOR,2,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Price,David,456034,"Price David",3184,BOS,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Harris,William,501789,"Harris Will",3192,HOU,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Young,Christopher,432934,"Young Chris",3196,KC,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Santana,Ervin,429722,"Santana Ervin",3200,MIN,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Liriano,Francisco,434538,"Liriano Francisco",3201,TOR,2,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Borbon,Julio Alberto,474865,"Borbon Julio",3209,BAL,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Ladendorf,Tyler,502285,"Ladendorf Tyler",3211,OAK,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Machi,Jean,466948,"Machi Jean",3220,SF,,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Pena,Brayan,430910,"Pena Brayan",3231,STL,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,McFarland,T.J.,519008,"McFarland T.J.",3237,BAL,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Britton,Zachary Grant,502154,"Britton Zach",3240,BAL,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Castro,Angel,502162,"Castro Angel",3243,OAK,,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Samardzija,Jeffrey Alan,502188,"Samardzija Jeff",3254,SF,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Gutierrez,Franklin,429711,"Gutierrez Franklin",3255,SEA,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Castillo,Welington,456078,"Castillo Welington",3256,ARI,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Cano,Robinson,429664,"Cano Robinson",3269,SEA,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Walden,Jordan,477229,"Walden Jordan",3271,STL,,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Hernandez,Fausto,433584,"Hernandez Roberto",3273,ATL,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Ashley,Nevin,502213,"Ashley Nevin",3274,NYN,,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Smith,Joseph Michael,501925,"Smith Joe",3281,CHN,2,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Sanchez,Anibal,434671,"Sanchez Anibal",3284,DET,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Culberson,Charlie Edward,518586,"Culberson Charlie",3298,LAN,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Hatcher,David,501822,"Hatcher Chris",3299,LAN,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Prado,Martin,445988,"Prado Martin",3312,MIA,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,O'Day,Darren,503285,"O'Day Darren",3321,BAL,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Garza,Matthew,490063,"Garza Matt",3340,MIL,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Joyce,Matthew,459964,"Joyce Matt",3353,PIT,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Ramos,Cesar,459987,"Ramos Cesar",3357,DET,,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Montero,Miguel,471083,"Montero Miguel",3364,CHN,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,De Aza,Alejandro,457477,"De Aza Alejandro",3371,NYN,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Jimenez,Ubaldo,434622,"Jimenez Ubaldo",3374,BAL,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Hundley,Nicholas,460026,"Hundley Nick",3376,COL,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Pennington,Clifton,460060,"Pennington Cliff",3395,LAA,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Diaz,Jose,471822,"Diaz Jumbo",3397,CIN,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Romero,Ricky,460069,"Romero Ricky",3403,SF,,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Braun,Ryan,460075,"Braun Ryan",3410,MIL,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Butera,Andrew,460077,"Butera Drew",3411,KC,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Craig,Allen,501800,"Craig Allen",3433,BOS,,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Reimold,Nolan,460099,"Reimold Nolan",3441,BAL,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Mathis,Jeffery,425772,"Mathis Jeff",3448,MIA,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Rizzo,Anthony Vincent,519203,"Rizzo Anthony",3473,CHN,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Valle,Sebastian,516679,"Valle Sebastian",3506,NYA,,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Hosmer,Eric John,543333,"Hosmer Eric",3516,KC,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Tulowitzki,Troy,453064,"Tulowitzki Troy",3531,TOR,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Duffy,Daniel,518633,"Duffy Danny",3542,KC,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
