MlbId,FirstName,LastName,FullName,Position,FormerTeam,MiLBAffiliate,Level,,,,,,
488683,Scott,Barnes,Scott Barnes,P,CHN,Iowa Cubs,Triple-A,,,,,,
570233,Frank,Batista,Frank Batista,,CHN,Iowa Cubs,Triple-A,,,,,,
543155,Stephen,Fife,Stephen Fife,P,CHN,Iowa Cubs,Triple-A,,,,,,
531565,Miguel,Mejia,Miguel Mejia,,CHN,Iowa Cubs,Triple-A,,,,,,
444875,Matt,Murton,Matt Murton,RF,CHN,Iowa Cubs,Triple-A,,,,,,
543633,Juan ,Perez,Juan  Perez,LF,CHN,Iowa Cubs,Triple-A,,,,,,
543894,Logan,Watkins,Logan Watkins,2B,CHN,Iowa Cubs,Triple-A,,,,,,
571633,Kelly,Dugan,Kelly Dugan,,CHN,Tennessee Smokies,Double-A,,,,,,
501888,Ryan,Kalish,Ryan Kalish,OF,CHN,Iowa Cubs,Triple-A,,,,,,
543643,Jonathan,Pettibone,Jonathan Pettibone,P,CHN,Tennessee Smokies,Double-A,,,,,,
594781,Ben,Carhart,Ben Carhart,C,CHN,Tennessee Smokies,Double-A,,,,,,
615694,Jesse,Hodges,Jesse Hodges,3B,CHN,Myrtle Beach Pelicans,High-A,,,,,,
605353,Vimael,Machin,Vimael Machin,SS,CHN,South Bend Cubs,Low-A,,,,,,
543070,Aaron,Crow,Aaron Crow,P,CHN,AZL Cubs,RK,,,,,,
425664,Shane,Victorino,Shane Victorino,O,CHN,Iowa Cubs,Triple-A,,,,,,
544371,Donald,Lutz,Donald Lutz,1B,CIN,Louisville Bats,Triple-A,,,,,,
534592,Chris,Berset,Chris Berset,C,CIN,Louisville Bats,Triple-A,,,,,,
490675,Ray,Chang,Ray Chang,SS,CIN,Louisville Bats,Triple-A,,,,,,
502457,Drew,Hayes,Drew Hayes,P,CIN,Louisville Bats,Triple-A,,,,,,
607257,Raffy,Lopez,Raffy Lopez,C,CIN,Louisville Bats,Triple-A,,,,,,
508892,Carlos,Triunfel,Carlos Triunfel,2B,CIN,Louisville Bats,Triple-A,,,,,,
543881,Pedro,Villarreal,Pedro Villarreal,P,CIN,Louisville Bats,Triple-A,,,,,,
595337,El'Hajj,Muhammad,El'Hajj Muhammad,P,CIN,Pensacola Blue Wahoos,Double-A,,,,,,
593984,Ronald,Bueno,Ronald Bueno,2B,CIN,Pensacola Blue Wahoos,Double-A,,,,,,
502544,Nick,Buss,Nick Buss,LF,CIN,Louisville Bats,Triple-A,,,,,,
570479,Alex,Monsalve,Alex Monsalve,C,CLE,Columbus Clippers,Triple-A,,,,,,
574831,Michael,Choice,Michael Choice,RF,CLE,Columbus Clippers,Triple-A,,,,,,
543286,Shawn,Haviland,Shawn Haviland,P,CLE,Columbus Clippers,Triple-A,,,,,,
446192,Adam,Moore,Adam Moore,C,CLE,Columbus Clippers,Triple-A,,,,,,
425565,Guillermo,Quiroz,Guillermo Quiroz,C,CLE,Columbus Clippers,Triple-A,,,,,,
642838,Trevor,Foss,Trevor Foss,P,CLE,Lake County Captains,Low-A,,,,,,
488957,Carlos,Hernandez,Carlos Hernandez,P,COL,Albuquerque Isotopes,Triple-A,,,,,,
519425,Jackson,Williams,Jackson Williams,C,COL,Albuquerque Isotopes,Triple-A,,,,,,
488703,Jeff,Bianchi,Jeff Bianchi,SS,COL,Albuquerque Isotopes,Triple-A,,,,,,
516685,Nelson,Gonzalez,Nelson Gonzalez,P,COL,Albuquerque Isotopes,Triple-A,,,,,,
455126,Chris,Nelson,Chris Nelson,3B,COL,Albuquerque Isotopes,Triple-A,,,,,,
594011,Rosell,Herrera,Rosell Herrera,LF,COL,Hartford Yard Goats,Double-A,,,,,,
593977,Johendi,Jiminian,Johendi Jiminian,P,COL,Hartford Yard Goats,Double-A,,,,,,
570557,Wilson,Soriano,Wilson Soriano,O,COL,Hartford Yard Goats,Double-A,,,,,,
593997,Cesar,Galvez,Cesar Galvez,2B,COL,Hartford Yard Goats,Double-A,,,,,,
593473,Yoely,Bello,Yoely Bello,P,COL,Modesto Nuts,High-A,,,,,,
572726,Tyler,Bortnick,Tyler Bortnick,2B,DET,Toledo Mud Hens,Triple-A,,,,,,
474494,Thomas,Field,Thomas Field,2B,DET,Toledo Mud Hens,Triple-A,,,,,,
502151,Chad,Huffman,Chad Huffman,I,DET,Toledo Mud Hens,Triple-A,,,,,,
592443,Corey,Jones,Corey Jones,DH,DET,Toledo Mud Hens,Triple-A,,,,,,
519403,Thad,Weber,Thad Weber,P,DET,Toledo Mud Hens,Triple-A,,,,,,
592189,Yordy,Cabrera,Yordy Cabrera,P,DET,West Michigan Whitecaps,Low-A,,,,,,
434137,Logan,Kensing,Logan Kensing,P,DET,Toledo Mud Hens,Triple-A,,,,,,
594815,Jeff,Ferrell,Jeff Ferrell,P,DET,Toledo Mud Hens,Triple-A,,,,,,
456124,Erik,Kratz,Erik Kratz,,HOU,Fresno Grizzlies,Triple-A,,,,,,
592629,Roberto,Pena,Roberto Pena,C,HOU,Fresno Grizzlies,Triple-A,,,,,,
592739,Tommy,Shirley,Tommy Shirley,P,HOU,Fresno Grizzlies,Triple-A,,,,,,
595834,Jose,Fernandez,Jose Fernandez,2B,HOU,Lancaster JetHawks,High-A,,,,,,
570651,Carlos,Garcia,Carlos Garcia,LF,KC,Northwest Arkansas Naturals,Double-A,,,,,,
519159,Benino,Pruneda,Benino Pruneda,P,KC,Omaha Storm Chasers,Triple-A,,,,,,
543038,Dusty,Coleman,Dusty Coleman,PR,KC,Omaha Storm Chasers,Triple-A,,,,,,
572804,Cody,Decker,Cody Decker,1B,KC,Omaha Storm Chasers,Triple-A,,,,,,
458252,Irving,Falu,Irving Falu,3B,KC,Omaha Storm Chasers,Triple-A,,,,,,
516952,Angel,Franco,Angel Franco,2B,KC,Omaha Storm Chasers,Triple-A,,,,,,
458709,John,Lannan,John Lannan,P,KC,Omaha Storm Chasers,Triple-A,,,,,,
489150,Clayton,Mortensen,Clayton Mortensen,P,KC,Omaha Storm Chasers,Triple-A,,,,,,
542664,Aroni,Nina,Aroni Nina,P,KC,Omaha Storm Chasers,Triple-A,,,,,,
285078,Josh,Hamilton,Josh Hamilton,LF,L,L,5/21/1981,36,"Round 1 (1999, TB)",TEX,,,
657580,Nate,Fury,Nate Fury,P,LAA,Arkansas Travelers,Double-A,,,,,,
571767,Jabari,Henry,Jabari Henry,LF,LAA,Arkansas Travelers,Double-A,,,,,,
597113,D.J.,Johnson,D.J. Johnson,P,LAA,Arkansas Travelers,Double-A,,,,,,
643440,Stephen,McGee,Stephen McGee,C,LAA,Arkansas Travelers,Double-A,,,,,,
487675,Edward,Paredes,Edward Paredes,P,LAA,Arkansas Travelers,Double-A,,,,,,
521811,Anthony,Phillips,Anthony Phillips,SS,LAA,Arkansas Travelers,Double-A,,,,,,
542326,Jose ,Molina,Jose  Molina,P,LAA,Arkansas Travelers,Double-A,,,,,,
502158,Josh,Roenicke,Josh Roenicke,,LAA,Arkansas Travelers,Double-A,,,,,,
643527,Ryan,Scott,Ryan Scott,C,LAA,AZL Angels,RK,,,,,,
572590,Jhonny,Polanco,Jhonny Polanco,P,LAA,Burlington Bees,Low-A,,,,,,
622399,Eury,Sanchez,Eury Sanchez,P,LAA,Burlington Bees,Low-A,,,,,,
642610,Jose,Feliz,Jose Feliz,P,LAA,DSL Angels,DSL,,,,,,
657057,David,Trexler,David Trexler,P,LAA,Inland Empire 66ers,High-A,,,,,,
593590,Webster,Rivas,Webster Rivas,,LAA,Inland Empire 66ers,High-A,,,,,,
623412,Geoff,Broussard,Geoff Broussard,P,LAA,Salt Lake Bees,Triple-A,,,,,,
665103,Angelo,Amendolare,Angelo Amendolare,2B,LAA,Salt Lake Bees,Triple-A,,,,,,
493337,Yunesky,Maya,Yunesky Maya,P,LAA,Salt Lake Bees,Triple-A,,,,,,
571990,Zach,Nuding,Zach Nuding,P,LAA,Salt Lake Bees,Triple-A,,,,,,
519071,Rey,Navarro,Rey Navarro,SS,LAA,Salt Lake Bees,Triple-A,,,,,,
623377,Brandon,Bayardi,Brandon Bayardi,RF,LAA,Arkansas Travelers,Double-A,,,,,,
642114,Michael,Strentz,Michael Strentz,RF,LAA,Arkansas Travelers,Double-A,,,,,,
641977,Jordan,Piche,Jordan Piche,P,LAA,Inland Empire 66ers,High-A,,,,,,
643395,Josh,Kimborowicz,Josh Kimborowicz,P,LAN,Ogden Raptors,ADV-RK,,,,,,
650625,Gregor,Mora,Gregor Mora,P,LAN,Ogden Raptors,ADV-RK,,,,,,
543389,Jeremy,Kehrt,Jeremy Kehrt,P,LAN,Oklahoma City Dodgers,Triple-A,,,,,,
543482,Drew,Maggi,Drew Maggi,3B,LAN,Oklahoma City Dodgers,Triple-A,,,,,,
502249,Lars,Anderson,Lars Anderson,1B,LAN,Oklahoma City Dodgers,Triple-A,,,,,,
446395,Corey,Brown,Corey Brown,CF,LAN,Oklahoma City Dodgers,Triple-A,,,,,,
593588,Josmar,Cordero,Josmar Cordero,1B,LAN,Oklahoma City Dodgers,Triple-A,,,,,,
518794,Brandon,Hicks,Brandon Hicks,2B,LAN,Oklahoma City Dodgers,Triple-A,,,,,,
592596,Rico,Noel,Rico Noel,CF,LAN,Oklahoma City Dodgers,Triple-A,,,,,,
607348,Tim,Shibuya,Tim Shibuya,P,LAN,Oklahoma City Dodgers,Triple-A,,,,,,
519452,Shawn,Zarraga,Shawn Zarraga,C,LAN,Oklahoma City Dodgers,Triple-A,,,,,,
643464,Dillon,Moyer,Dillon Moyer,P,LAN,Rancho Cucamonga Quakes,High-A,,,,,,
548183,Alex,Burgos,Alex Burgos,P,LAN,Tulsa Drillers,Double-A,,,,,,
542289,Daniel,Corcino,Daniel Corcino,P,LAN,Tulsa Drillers,Double-A,,,,,,
542413,Felipe,Gonzalez,Felipe Gonzalez,P,LAN,Tulsa Drillers,Double-A,,,,,,
545349,Jeff,Malm,Jeff Malm,P,LAN,Tulsa Drillers,Double-A,,,,,,
451628,Alfredo,Figaro,Alfredo Figaro,P,LAN,Tulsa Drillers,Double-A,,,,,,
595945,Alex,Fernandez,Alex Fernandez,O,MIA,Greensboro Grasshoppers,Low-A,,,,,,
516472,Francisco,Arcia,Francisco Arcia,C,MIA,Jacksonville Jumbo Shrimp,Double-A,,,,,,
577029,Chris,Curley,Chris Curley,3B,MIA,Jacksonville Jumbo Shrimp,Double-A,,,,,,
595378,James,Roberts,James Roberts,3B,MIA,Jacksonville Jumbo Shrimp,Double-A,,,,,,
518543,Ryan,Chaffee,Ryan Chaffee,P,MIA,Jacksonville Jumbo Shrimp,Double-A,,,,,,
657234,Trey,Lambert,Trey Lambert,P,MIA,Jupiter Hammerheads,High-A,,,,,,
542301,Juancito,Martinez,Juancito Martinez,P,MIA,Jupiter Hammerheads,High-A,,,,,,
518420,Dylan,Axelrod,Dylan Axelrod,P,MIA,New Orleans Zephyrs,Triple-A,,,,,,
543589,Adrian,Nieto,Adrian Nieto,C,MIA,New Orleans Zephyrs,Triple-A,,,,,,
519303,Elliot,Soto,Elliot Soto,SS,MIA,New Orleans Zephyrs,Triple-A,,,,,,
519402,Garrett,Weber,Garrett Weber,2B,MIA,New Orleans Zephyrs,Triple-A,,,,,,
607768,Sutton,Whiting,Sutton Whiting,2B,MIA,New Orleans Zephyrs,Triple-A,,,,,,
