LastName,FirstName,MLBId,PlayerName,PlayerId,Team,TeamNbr,Pos,G,GS,INN,BallsInZone,MissedBallsInZone,OutsOutOfZone,CBlockingRuns,CFramingRuns,Cera
Gregerson,Luke,502381,"Gregerson Luke",4090,HOU,1,1,4,0,3.100000,0,0,0,,,
Brantley,Michael,488726,"Brantley Michael",4106,CLE,1,7,5,4,36.000000,4,0,5,,,
Holland,Derek,502706,"Holland Derek",4141,CHA,1,1,1,1,6.000000,0,0,0,,,
Hernandez,Gorkys,491676,"Hernandez Gorkys",4146,SF,1,7,2,0,5.200000,1,0,0,,,
Hernandez,Gorkys,491676,"Hernandez Gorkys",4146,SF,1,8,4,4,33.000000,5,1,2,,,
Arrieta,Jacob,453562,"Arrieta Jake",4153,CHN,1,1,2,2,13.000000,0,0,2,,,
Escobar,Yunel,488862,"Escobar Yunel",4191,LAA,1,5,7,7,61.000000,13,4,2,,,
Zimmerman,Ryan,475582,"Zimmerman Ryan",4220,WAS,1,3,6,5,42.200000,6,1,0,,,
Kendrick,Howard,435062,"Kendrick Howie",4229,PHI,1,7,5,5,42.000000,4,0,4,,,
Weaver,Jered,450308,"Weaver Jered",4235,SD,1,1,1,1,5.000000,0,0,1,,,
Lobaton,Jose,446653,"Lobaton Jose",4243,WAS,1,2,1,1,8.000000,,,,0,0,3.38
Drew,Stephen,452220,"Drew Stephen",4251,WAS,1,5,1,1,9.000000,0,0,0,,,
Drew,Stephen,452220,"Drew Stephen",4251,WAS,1,6,1,1,8.200000,1,1,1,,,
Melancon,Mark,453343,"Melancon Mark",4264,SF,1,1,2,0,1.200000,0,0,0,,,
Wieters,Matthew,446308,"Wieters Matt",4298,WAS,1,2,6,5,45.200000,,,,0,0,6.50
Wilson,Justin,458677,"Wilson Justin",4301,DET,1,1,3,0,2.200000,,,,,,
Votto,Joey,458015,"Votto Joey",4314,CIN,1,3,6,6,50.200000,8,1,1,,,
Murphy,Daniel Thomas,502517,"Murphy Daniel",4316,WAS,1,4,6,6,53.200000,12,4,5,,,
Chatwood,Tyler Cole,543022,"Chatwood Tyler",4338,COL,1,1,1,1,6.000000,0,0,1,,,
Breslow,Craig,444520,"Breslow Craig",4363,MIN,1,1,1,0,0.100000,0,0,0,,,
Van Slyke,Scott T,475100,"Van Slyke Scott",4365,LAN,1,3,2,1,8.000000,1,0,0,,,
Van Slyke,Scott T,475100,"Van Slyke Scott",4365,LAN,1,7,4,0,7.000000,1,1,0,,,
Van Slyke,Scott T,475100,"Van Slyke Scott",4365,LAN,1,8,1,0,1.000000,1,0,0,,,
Hellickson,Jeremy,476451,"Hellickson Jeremy",4371,PHI,1,1,2,2,10.000000,0,0,0,,,
Lowrie,Jed,476704,"Lowrie Jed",4418,OAK,1,4,6,6,52.000000,14,2,0,,,
Zimmermann,Jordan,519455,"Zimmermann Jordan",4505,DET,1,1,1,1,6.000000,0,0,0,,,
Hammel,Jason,434628,"Hammel Jason",4538,KC,1,1,1,1,5.000000,0,0,0,,,
Castro,Starlin DeJesus,516770,"Castro Starlin",4579,NYA,1,4,6,6,50.000000,11,5,2,,,
Martin,Russell,431145,"Martin Russell",4616,TOR,1,2,5,5,46.100000,,,,0,0,3.50
McCarthy,Brandon,435221,"McCarthy Brandon",4662,LAN,1,1,1,1,6.000000,0,0,0,,,
Morton,Charlie,450203,"Morton Charlie",4676,HOU,1,1,1,1,6.000000,0,0,1,,,
Neshek,Patrick,450212,"Neshek Pat",4682,PHI,1,1,3,0,2.200000,0,0,0,,,
Jones,Nathan Andrew,518858,"Jones Nate",4696,CHA,1,1,2,0,2.100000,0,0,2,,,
Revere,Ben Daniel,519184,"Revere Ben",4712,LAA,1,7,2,2,17.000000,3,1,1,,,
Headley,Chase J,452104,"Headley Chase",4720,NYA,1,3,1,0,1.000000,,,,,,
Headley,Chase J,452104,"Headley Chase",4720,NYA,1,5,6,6,49.000000,8,3,2,,,
Ellsbury,Jacoby M,453056,"Ellsbury Jacoby",4727,NYA,1,8,5,5,41.000000,8,0,3,,,
Cain,Matthew,430912,"Cain Matt",4732,SF,1,1,1,1,4.100000,0,0,0,,,
Granderson,Curtis,434158,"Granderson Curtis",4747,NYN,1,8,5,5,48.000000,10,1,1,,,
Broxton,Jonathan,455009,"Broxton Jonathan",4759,STL,1,1,2,0,2.000000,0,0,0,,,
Hernandez,Felix,433587,"Hernandez Felix",4772,SEA,1,1,2,2,11.000000,0,0,0,,,
Shoemaker,Matthew D.,533167,"Shoemaker Matt",4776,LAA,1,1,2,2,9.100000,0,0,1,,,
Hill,Richard,448179,"Hill Rich",4806,LAN,1,1,1,1,5.000000,0,0,0,,,
McCann,Brian,435263,"McCann Brian",4810,HOU,1,2,5,5,48.000000,,,,1,0,3.00
Blanton,Joseph,430599,"Blanton Joe",4849,WAS,1,1,3,0,4.200000,0,0,1,,,
Dyson,Jarrod Martel,502481,"Dyson Jarrod",4866,SEA,1,7,5,5,45.200000,2,0,4,,,
Dyson,Jarrod Martel,502481,"Dyson Jarrod",4866,SEA,1,8,1,1,8.000000,2,0,1,,,
Montgomery,Michael,543557,"Montgomery Mike",4869,CHN,1,1,2,0,3.000000,0,0,0,,,
Maurer,Brandon,543506,"Maurer Brandon",4878,SD,1,1,2,0,2.000000,0,0,1,,,
Gomez,Carlos,460576,"Gomez Carlos",4881,TEX,1,8,6,6,54.000000,12,2,6,,,
Moylan,Peter,493247,"Moylan Peter",4891,KC,1,1,4,0,2.200000,,,,,,
Moustakas,Michael,519058,"Moustakas Mike",4892,KC,1,5,4,4,36.200000,5,2,1,,,
Inciarte,Ender David,542255,"Inciarte Ender",4922,ATL,1,8,6,6,53.000000,17,1,7,,,
Lester,Jonathan,452657,"Lester Jon",4930,CHN,1,1,1,1,5.000000,0,0,1,,,
Heyward,Jason,518792,"Heyward Jason",4940,CHN,1,8,2,2,14.100000,3,0,1,,,
Heyward,Jason,518792,"Heyward Jason",4940,CHN,1,9,4,3,31.200000,3,0,1,,,
Stanton,Michael Cruz-Michael,519317,"Stanton Giancarlo",4949,MIA,1,9,6,6,51.000000,9,0,2,,,
Cabrera,Asdrubal,452678,"Cabrera Asdrubal",4962,NYN,1,6,6,6,56.200000,15,3,4,,,
Salas,Noel,477569,"Salas Fernando",4971,NYN,1,1,5,0,4.200000,0,0,0,,,
Hamels,Colbert,430935,"Hamels Cole",4972,TEX,1,1,1,1,6.000000,0,0,0,,,
Vogt,Stephen Guy,519390,"Vogt Stephen",5000,OAK,1,2,5,5,44.000000,,,,0,0,5.11
Donaldson,Joshua,518626,"Donaldson Josh",5038,TOR,1,5,6,6,51.100000,8,1,1,,,
Fields,Joshua,451661,"Fields Josh",5070,LAN,1,1,2,0,1.100000,,,,,,
Marte,Jefry Leonal,527043,"Marte Jefry",5107,LAA,1,3,2,2,18.000000,2,0,1,,,
Gordon,Alex,460086,"Gordon Alex",5209,KC,1,7,6,6,53.200000,6,0,5,,,
LeBlanc,Wade,453281,"LeBlanc Wade",5221,PIT,1,1,1,0,0.100000,0,0,0,,,
Upton,Justin,457708,"Upton Justin",5222,DET,1,7,5,5,39.000000,8,2,6,,,
Maybin,Cameron,457727,"Maybin Cameron",5223,LAA,1,7,5,5,44.000000,9,0,2,,,
Parker,Richard,453284,"Parker Blake",5224,LAA,1,1,4,0,4.000000,0,0,0,,,
Jay,Jonathan,445055,"Jay Jon",5227,CHN,1,8,3,2,22.200000,4,0,1,,,
Turner,Justin,457759,"Turner Justin",5235,LAN,1,5,6,6,52.000000,11,4,4,,,
Leon,Sandy David,506702,"Leon Sandy",5273,BOS,1,2,4,4,38.000000,,,,0,0,3.08
Cervelli,Francisco,465041,"Cervelli Francisco",5275,PIT,1,2,5,4,38.100000,,,,0,0,3.52
Hicks,Aaron,543305,"Hicks Aaron",5297,NYA,1,7,1,0,2.000000,0,0,0,,,
Hicks,Aaron,543305,"Hicks Aaron",5297,NYA,1,8,1,1,9.000000,2,1,1,,,
Hicks,Aaron,543305,"Hicks Aaron",5297,NYA,1,9,1,1,8.000000,0,0,0,,,
Crawford,Brandon,543063,"Crawford Brandon",5343,SF,1,6,7,7,58.200000,17,4,2,,,
Solarte,Yangervis Alfredo,500208,"Solarte Yangervis",5352,SD,1,4,7,7,59.000000,15,5,4,,,
Alvarez,Jose Ricardo,501625,"Alvarez Jose",5358,LAA,1,1,3,0,1.100000,,,,,,
Freeman,Freddie Charles,518692,"Freeman Freddie",5361,ATL,1,3,6,6,53.000000,4,1,0,,,
Pineda,Michael Francisco,501381,"Pineda Michael",5372,NYA,1,1,1,1,3.200000,0,0,0,,,
Peacock,Bradley,502748,"Peacock Brad",5401,HOU,1,1,3,0,3.200000,,,,,,
Sandoval,Pablo,467055,"Sandoval Pablo",5409,BOS,1,5,5,5,46.000000,7,3,2,,,
Altuve,Jose Carlos,514888,"Altuve Jose",5417,HOU,1,4,7,7,70.000000,12,1,5,,,
Chavez,Jesse,445926,"Chavez Jesse",5448,LAA,1,1,1,1,5.200000,0,0,0,,,
Nava,Daniel,537953,"Nava Daniel",5450,PHI,1,3,1,0,1.000000,,,,,,
Nava,Daniel,537953,"Nava Daniel",5450,PHI,1,7,1,1,8.000000,0,0,1,,,
Almonte,Abraham,501659,"Almonte Abraham",5486,CLE,1,7,1,0,0.200000,0,0,1,,,
Almonte,Abraham,501659,"Almonte Abraham",5486,CLE,1,9,3,2,20.000000,0,0,1,,,
Romine,Austin Allen,519222,"Romine Austin",5491,NYA,1,2,2,1,13.000000,,,,0,0,4.15
Gonzalez,Marwin Javier,503556,"Gonzalez Marwin",5497,HOU,1,3,4,2,21.000000,3,1,0,,,
Gonzalez,Marwin Javier,503556,"Gonzalez Marwin",5497,HOU,1,5,1,1,9.000000,1,0,0,,,
Gonzalez,Marwin Javier,503556,"Gonzalez Marwin",5497,HOU,1,7,2,1,11.000000,0,0,0,,,
Vizcaino,Arodys,527055,"Vizcaino Arodys",5498,ATL,1,1,3,0,3.000000,0,0,1,,,
Bumgarner,Madison,518516,"Bumgarner Madison",5524,SF,1,1,2,2,15.000000,0,0,0,,,
Logan,Boone,457429,"Logan Boone",5525,CLE,1,1,3,0,0.200000,0,0,0,,,
Saltalamacchia,Jarrod,457454,"Saltalamacchia Jarrod",5557,TOR,1,2,1,1,8.000000,,,,0,0,11.25
Kemp,Matthew,461314,"Kemp Matt",5631,ATL,1,7,4,4,33.000000,8,0,2,,,
Clippard,Tyler,461325,"Clippard Tyler",5640,NYA,1,1,3,0,3.000000,,,,,,
Souza Jr.,Steven,519306,"Souza Jr. Steven",5667,TB,1,9,7,7,65.000000,10,0,9,,,
Ellis,Andrew,454560,"Ellis A.J.",5677,MIA,1,2,1,1,9.000000,,,,0,0,2.00
Guerra,Junior,448855,"Guerra Junior",5702,MIL,1,1,1,1,3.000000,,,,,,
O'Flaherty,Eric,447714,"O'Flaherty Eric",5746,ATL,1,1,3,0,1.200000,0,0,0,,,
Perez,Hernan Alejandro,541650,"Perez Hernan",5751,MIL,1,5,1,0,4.200000,0,0,0,,,
Perez,Hernan Alejandro,541650,"Perez Hernan",5751,MIL,1,6,3,2,23.000000,6,2,3,,,
Perez,Hernan Alejandro,541650,"Perez Hernan",5751,MIL,1,8,1,1,9.100000,2,0,1,,,
Perez,Hernan Alejandro,541650,"Perez Hernan",5751,MIL,1,9,1,1,9.000000,0,0,1,,,
Garcia,Avisail Antonio,541645,"Garcia Avisail",5760,CHA,1,9,5,5,45.000000,8,1,4,,,
Rondon,Bruce,541652,"Rondon Bruce",5766,DET,1,1,3,0,1.100000,0,0,0,,,
Flores,Wilmer Alejandro,527038,"Flores Wilmer",5827,NYN,1,3,2,2,18.000000,3,0,1,,,
Flores,Wilmer Alejandro,527038,"Flores Wilmer",5827,NYN,1,5,2,1,6.100000,4,2,0,,,
Marinez,Jhan Carlos,501697,"Marinez Jhan",5830,MIL,1,1,3,0,4.100000,0,0,0,,,
Salazar,Danny Dariel,517593,"Salazar Danny",5867,CLE,1,1,1,1,5.200000,0,0,0,,,
Jaso,John,444379,"Jaso John",5887,PIT,1,3,3,1,14.000000,0,0,0,,,
Garcia,Levry,544725,"Garcia Leury",5913,CHA,1,7,1,0,2.000000,1,1,0,,,
Garcia,Levry,544725,"Garcia Leury",5913,CHA,1,8,1,1,7.000000,1,0,0,,,
Markakis,Nicholas,455976,"Markakis Nick",5930,ATL,1,9,6,6,53.000000,11,0,4,,,
Segura,Jean Carlo,516416,"Segura Jean",5933,SEA,1,6,7,7,62.100000,21,6,4,,,
Sucre,Jesus Marcelo,491696,"Sucre Jesus",5942,TB,1,2,3,2,19.000000,,,,0,0,2.84
Delgado,Randall Enrique,517414,"Delgado Randall",5985,ARI,1,1,3,0,4.000000,0,0,1,,,
Herrera,Kelvin De Jesus,516969,"Herrera Kelvin",6033,KC,1,1,2,0,2.000000,,,,,,
Hill,Aaron,431094,"Hill Aaron",6104,SF,1,4,2,2,14.100000,5,2,1,,,
Hill,Aaron,431094,"Hill Aaron",6104,SF,1,7,4,1,12.200000,2,0,0,,,
Escobar,Eduardo Jose,500871,"Escobar Eduardo",6153,MIN,1,5,1,1,9.000000,3,2,0,,,
Escobar,Eduardo Jose,500871,"Escobar Eduardo",6153,MIN,1,6,1,1,9.000000,2,0,0,,,
Kinsler,Ian,435079,"Kinsler Ian",6195,DET,1,4,5,5,42.000000,11,2,1,,,
Betances,Dellin,476454,"Betances Dellin",6216,NYA,1,1,3,0,2.100000,0,0,0,,,
Cahill,Trevor John,502239,"Cahill Trevor",6249,SD,1,1,1,1,5.200000,0,0,1,,,
Feldman,Scott,444857,"Feldman Scott",6283,CIN,1,1,2,2,10.200000,0,0,1,,,
Escobar,Alcides,444876,"Escobar Alcides",6310,KC,1,6,6,6,53.200000,17,5,3,,,
Phelps,David,475479,"Phelps David",6316,MIA,1,1,3,0,4.000000,0,0,1,,,
Archer,Chris,502042,"Archer Chris",6345,TB,1,1,2,2,14.200000,0,0,0,,,
Valencia,Daniel,502143,"Valencia Danny",6364,SEA,1,3,7,7,60.100000,9,1,2,,,
Jones,Adam,430945,"Jones Adam",6368,BAL,1,8,5,5,47.000000,6,1,2,,,
Odorizzi,Jake,543606,"Odorizzi Jake",6397,TB,1,1,2,2,12.000000,0,0,0,,,
Nieuwenhuis,Kirk Robert,543590,"Nieuwenhuis Kirk",6400,MIL,1,8,3,2,25.000000,3,0,2,,,
Hardy,Blaine,543278,"Hardy Blaine",6499,DET,1,1,1,0,1.000000,,,,,,
Mercer,Jordy,474568,"Mercer Jordy",6547,PIT,1,6,5,5,47.100000,10,2,4,,,
Cobb,Alexander,502171,"Cobb Alex",6562,TB,1,1,1,1,5.200000,0,0,2,,,
Koehler,Thomas,543408,"Koehler Tom",6570,MIA,1,1,1,1,5.000000,0,0,0,,,
Galvis,Freddy Jose,520471,"Galvis Freddy",6609,PHI,1,6,6,6,49.000000,10,1,1,,,
Rzepczynski,Marc,519240,"Rzepczynski Marc",6612,SEA,1,1,3,0,1.100000,0,0,0,,,
Brach,Brad,542960,"Brach Brad",6627,BAL,1,1,4,0,4.000000,0,0,0,,,
Carrasco,Carlos,471911,"Carrasco Carlos",6632,CLE,1,1,1,1,5.200000,0,0,0,,,
d'Arnaud,Chase,488818,"d'Arnaud Chase",6652,ATL,1,7,2,0,3.000000,1,0,1,,,
Kimbrel,Craig,518886,"Kimbrel Craig",6655,BOS,1,1,3,0,3.000000,0,0,0,,,
Colome,Alexander Manuel,517008,"Colome Alex",6661,TB,1,1,4,0,4.100000,0,0,2,,,
Socolovich,Miguel,462515,"Socolovich Miguel",6697,STL,1,1,2,0,3.000000,0,0,1,,,
Miller,Andrew,453192,"Miller Andrew",6785,CLE,1,1,3,0,3.100000,,,,,,
Teheran,Julio Alberto,527054,"Teheran Julio",6797,ATL,1,1,2,2,13.000000,0,0,1,,,
Nunez,Eduardo,456488,"Nunez Eduardo",6848,SF,1,5,7,7,58.200000,23,10,1,,,
Norris,Derek,519083,"Norris Derek",6867,TB,1,2,5,5,46.000000,,,,0,1,3.33
Trumbo,Mark,444432,"Trumbo Mark",6876,BAL,1,9,1,1,9.000000,3,0,2,,,
Maldonado,Martin,455117,"Maldonado Martin",6887,LAA,1,2,6,5,46.000000,,,,1,0,2.93
Cueto,Johnny,456501,"Cueto Johnny",6893,SF,1,1,2,2,12.000000,0,0,1,,,
Anderson,Chase,502624,"Anderson Chase",6895,MIL,1,1,1,1,6.000000,0,0,2,,,
Perez,Martin,527048,"Perez Martin",6902,TEX,1,1,2,2,11.100000,0,0,2,,,
Soria,Joakim,465657,"Soria Joakim",6941,KC,1,1,3,0,4.000000,0,0,2,,,
Storen,Drew,519322,"Storen Drew",6983,CIN,1,1,3,0,3.000000,0,0,0,,,
Kennedy,Ian Patrick,453178,"Kennedy Ian",6986,KC,1,1,1,1,5.000000,0,0,0,,,
Pressly,Ryan,519151,"Pressly Ryan",7005,MIN,1,1,3,0,2.000000,,,,,,
Molina,Yadier,425877,"Molina Yadier",7007,STL,1,2,6,6,49.000000,,,,0,0,3.67
Gonzalez,Miguel Angel,456068,"Gonzalez Miguel",7024,CHA,1,1,1,1,6.000000,0,0,0,,,
Shields,James,448306,"Shields James",7059,CHA,1,1,1,1,5.100000,0,0,0,,,
Joseph,Caleb,543376,"Joseph Caleb",7087,BAL,1,2,1,1,9.000000,,,,0,0,7.00
Hudson,Daniel Clairborne,543339,"Hudson Daniel",7146,PIT,1,1,4,0,3.200000,0,0,1,,,
Forsythe,Logan Logan,523253,"Forsythe Logan",7185,LAN,1,4,5,5,44.000000,5,2,3,,,
Forsythe,Logan Logan,523253,"Forsythe Logan",7185,LAN,1,5,1,1,9.000000,1,0,1,,,
Holland,Gregory,518813,"Holland Greg",7196,COL,1,1,4,0,4.000000,,,,,,
Stammen,Craig,489334,"Stammen Craig",7274,SD,1,1,3,0,3.100000,0,0,0,,,
Gonzalez,Carlos,471865,"Gonzalez Carlos",7287,COL,1,9,6,6,53.000000,7,0,3,,,
Ziegler,Brad,446899,"Ziegler Brad",7293,MIA,1,1,3,0,3.000000,0,0,0,,,
Perez,Salvador,521692,"Perez Salvador",7304,KC,1,2,5,5,44.200000,,,,1,0,5.44
Collmenter,Joshua Michael,518567,"Collmenter Josh",7312,ATL,1,1,1,0,2.000000,0,0,1,,,
Gimenez,Chris,460269,"Gimenez Chris",7324,MIN,1,2,1,1,9.000000,,,,0,0,1.00
Gimenez,Chris,460269,"Gimenez Chris",7324,MIN,1,5,1,0,1.000000,1,0,0,,,
Smith,Garry,452234,"Smith Seth",7331,BAL,1,9,3,3,26.000000,2,0,2,,,
Martinez,Michael,492841,"Martinez Michael",7358,CLE,1,5,2,0,3.000000,1,1,0,,,
Otero,Daniel,519096,"Otero Dan",7385,CLE,1,1,3,0,2.000000,0,0,0,,,
Happ,James,457918,"Happ J.A.",7410,TOR,1,1,1,1,7.000000,0,0,0,,,
Zobrist,Benjamin,450314,"Zobrist Ben",7435,CHN,1,4,3,2,18.200000,3,0,1,,,
Zobrist,Benjamin,450314,"Zobrist Ben",7435,CHN,1,7,3,0,4.200000,0,0,0,,,
Zobrist,Benjamin,450314,"Zobrist Ben",7435,CHN,1,9,3,3,23.100000,3,0,1,,,
Davis,Wade,451584,"Davis Wade",7441,CHN,1,1,3,0,2.100000,0,0,0,,,
Gonzalez,Giovany,461829,"Gonzalez Gio",7448,WAS,1,1,1,1,6.000000,0,0,0,,,
Hughes,Philip,461833,"Hughes Phil",7450,MIN,1,1,1,1,6.000000,0,0,0,,,
Plouffe,Trevor,461858,"Plouffe Trevor",7462,OAK,1,5,5,5,43.000000,15,4,2,,,
Avila,Alex,488671,"Avila Alex",7476,DET,1,2,1,1,9.000000,,,,0,0,7.00
Layne,Thomas Kevin,518927,"Layne Tommy",7501,NYA,1,1,4,0,2.100000,0,0,0,,,
Scribner,Evan,519267,"Scribner Evan",7525,SEA,1,1,3,0,1.200000,0,0,0,,,
Walker,Neil,435522,"Walker Neil",7539,NYN,1,4,6,6,57.000000,16,3,3,,,
McGee,Jacob,459429,"McGee Jake",7550,COL,1,1,3,0,2.000000,0,0,0,,,
Vincent,Nick,543883,"Vincent Nick",7555,SEA,1,1,3,0,3.200000,0,0,0,,,
Lyles,Jordan,543475,"Lyles Jordan",7593,COL,1,1,2,0,3.000000,0,0,0,,,
Milone,Tom,543548,"Milone Tommy",7608,MIL,1,1,2,1,6.000000,0,0,0,,,
Reynolds,Mark,448602,"Reynolds Mark",7619,COL,1,3,7,7,62.000000,11,2,0,,,
Torres,Carlos,448614,"Torres Carlos",7624,MIL,1,1,4,0,6.100000,0,0,1,,,
Ramirez,Neil Andrew,519166,"Ramirez Neil",7677,SF,1,1,2,0,2.100000,0,0,0,,,
Nicasio,Juan,504379,"Nicasio Juan",7731,PIT,1,1,3,0,3.000000,0,0,2,,,
Peralta,Wily,503449,"Peralta Wily",7738,MIL,1,1,1,1,5.000000,0,0,0,,,
d'Arnaud,Travis,518595,"d'Arnaud Travis",7739,NYN,1,2,4,3,32.000000,,,,0,0,3.66
Fiers,Michael Bruce,571666,"Fiers Mike",7754,HOU,1,1,1,1,6.000000,0,0,0,,,
Kelley,Shawn Andrew,518875,"Kelley Shawn",7773,WAS,1,1,2,0,2.000000,0,0,1,,,
Rojas,Miguel Elias,500743,"Rojas Miguel",7802,MIA,1,4,1,1,6.000000,1,0,2,,,
Rojas,Miguel Elias,500743,"Rojas Miguel",7802,MIA,1,5,3,1,12.000000,2,1,0,,,
Rojas,Miguel Elias,500743,"Rojas Miguel",7802,MIA,1,6,1,1,8.000000,1,0,1,,,
Strickland,Hunter Drew,519326,"Strickland Hunter",7836,SF,1,1,3,0,3.000000,0,0,1,,,
Blevins,Jerry,460283,"Blevins Jerry",7841,NYN,1,1,3,0,1.200000,,,,,,
Blackmon,Charles Cobb,453568,"Blackmon Charlie",7859,COL,1,8,7,7,62.000000,8,1,3,,,
Lucroy,Jonathan,518960,"Lucroy Jonathan",7870,TEX,1,2,4,4,36.000000,,,,-1,0,6.25
Gearrin,Cory Nathanial,518715,"Gearrin Cory",7947,SF,1,1,3,0,2.000000,0,0,0,,,
Beckham,Timothy Lamar,542921,"Beckham Tim",7949,TB,1,6,6,6,55.000000,14,5,8,,,
Martinez,Jose Alberto,500874,"Martinez Jose",7996,STL,1,9,2,0,6.000000,2,0,0,,,
Lind,Adam,452252,"Lind Adam",8027,WAS,1,3,2,1,11.000000,0,0,1,,,
Vargas,Jason,450306,"Vargas Jason",8044,KC,1,1,1,1,6.000000,0,0,0,,,
Jennings,Daniel Lee,543359,"Jennings Dan",8073,CHA,1,1,3,0,2.000000,0,0,0,,,
Carpenter,Matt Martin,572761,"Carpenter Matt",8090,STL,1,3,6,6,51.000000,11,1,1,,,
Shaw,Bryan,543766,"Shaw Bryan",8110,CLE,1,1,3,0,3.100000,0,0,0,,,
Garcia,Jaime,448802,"Garcia Jaime",8137,ATL,1,1,1,1,6.000000,0,0,0,,,
Fryer,Eric Joseph,518700,"Fryer Eric",8145,STL,1,2,2,0,5.000000,,,,0,0,7.20
Gallardo,Yovani,451596,"Gallardo Yovani",8173,SEA,1,1,1,1,5.000000,0,0,0,,,
Siegrist,Kevin Ryan,543779,"Siegrist Kevin",8180,STL,1,1,2,0,2.000000,0,0,0,,,
Wright,Steven,453214,"Wright Steven",8185,BOS,1,1,1,1,6.200000,0,0,0,,,
Harrison,Joshua Isaiah,543281,"Harrison Josh",8202,PIT,1,4,3,3,27.100000,8,1,2,,,
Harrison,Joshua Isaiah,543281,"Harrison Josh",8202,PIT,1,5,3,1,12.000000,1,1,0,,,
Gordon,Dee,543829,"Gordon Dee",8203,MIA,1,4,6,5,46.000000,12,2,3,,,
Anderson,Brett,474463,"Anderson Brett",8223,CHN,1,1,1,1,5.200000,0,0,0,,,
Robertson,David,502085,"Robertson David",8241,CHA,1,1,1,0,1.000000,,,,,,
Howell,James,434442,"Howell J.P.",8245,TOR,1,1,2,0,0.100000,0,0,0,,,
Pence,Hunter,452254,"Pence Hunter",8252,SF,1,9,6,6,50.200000,9,0,6,,,
Suzuki,Kurt,435559,"Suzuki Kurt",8259,ATL,1,2,3,3,27.000000,,,,-1,0,2.67
Iannetta,Christopher,455104,"Iannetta Chris",8267,ARI,1,2,2,2,18.000000,,,,0,0,4.50
Sipp,Tony,448609,"Sipp Tony",8280,HOU,1,1,2,0,0.200000,0,0,0,,,
Ramirez,Juan Carlos,500724,"Ramirez JC",8302,LAA,1,1,3,0,5.000000,0,0,0,,,
Span,Denard,452655,"Span Denard",8347,SF,1,8,3,3,25.200000,5,0,0,,,
Ramos,Alejandro,573109,"Ramos A.J.",8350,MIA,1,1,2,0,2.000000,0,0,0,,,
Pedroia,Dustin,456030,"Pedroia Dustin",8370,BOS,1,4,5,5,46.000000,10,1,1,,,
Descalso,Daniel,518614,"Descalso Daniel",8392,ARI,1,3,1,0,1.000000,0,0,0,,,
Descalso,Daniel,518614,"Descalso Daniel",8392,ARI,1,4,2,1,12.200000,3,1,0,,,
Descalso,Daniel,518614,"Descalso Daniel",8392,ARI,1,7,1,1,6.000000,0,0,0,,,
Farquhar,Daniel,543144,"Farquhar Danny",8501,TB,1,1,3,0,3.200000,0,0,0,,,
Parra,Gerardo,467827,"Parra Gerardo",8553,COL,1,7,7,6,56.000000,2,0,4,,,
McGowan,Dustin,430661,"McGowan Dustin",8600,MIA,1,1,3,0,3.000000,0,0,0,,,
Orlando,Paulo Roberto,449181,"Orlando Paulo",8628,KC,1,9,6,6,53.200000,9,0,5,,,
Verlander,Justin,434378,"Verlander Justin",8700,DET,1,1,1,1,6.100000,0,0,0,,,
Andrus,Elvis Augusto,462101,"Andrus Elvis",8709,TEX,1,6,6,6,54.000000,24,8,1,,,
Castro,Jason Michael,488771,"Castro Jason",8722,MIN,1,2,5,5,44.000000,,,,0,0,2.25
Roark,Tanner,543699,"Roark Tanner",8753,WAS,1,1,1,1,6.000000,0,0,2,,,
Miley,Wade,489119,"Miley Wade",8779,BAL,1,1,1,1,5.000000,0,0,0,,,
Drake,Oliver,543118,"Drake Oliver",8823,BAL,1,1,2,0,2.100000,0,0,0,,,
Bastardo,Antonio,455374,"Bastardo Antonio",8844,PIT,1,1,2,0,1.100000,0,0,0,,,
Warren,Adam,476589,"Warren Adam",9029,NYA,1,1,3,0,6.000000,,,,,,
Gomez,Jeanmar,491646,"Gomez Jeanmar",9033,PHI,1,1,3,0,3.000000,0,0,1,,,
Hoover,J.J.,543331,"Hoover J.J.",9037,ARI,1,1,4,0,3.200000,0,0,0,,,
Carrera,Ezequiel,485567,"Carrera Ezequiel",9048,TOR,1,7,6,3,31.200000,5,0,4,,,
Smoak,Justin,475253,"Smoak Justin",9054,TOR,1,3,6,5,39.200000,5,1,0,,,
Amarista,Alexi Jose,506560,"Amarista Alexi",9063,COL,1,4,1,1,6.000000,1,1,0,,,
Cain,Lorenzo,456715,"Cain Lorenzo",9077,KC,1,8,6,6,53.200000,13,2,6,,,
Putnam,Zach,474029,"Putnam Zach",9080,CHA,1,1,3,0,4.200000,0,0,0,,,
Hand,Brad,543272,"Hand Brad",9111,SD,1,1,3,0,3.000000,0,0,1,,,
Davis,Khristopher Adrian,501981,"Davis Khris",9112,OAK,1,7,6,6,53.000000,7,0,0,,,
Flowers,Tyler,452095,"Flowers Tyler",9134,ATL,1,2,3,3,25.000000,,,,-1,0,5.04
Posey,Buster,457763,"Posey Buster",9166,SF,1,2,6,6,50.200000,,,,0,1,5.15
Morrison,Logan,489149,"Morrison Logan",9205,TB,1,3,6,5,50.000000,2,0,0,,,
Goldschmidt,Paul Edward,502671,"Goldschmidt Paul",9218,ARI,1,3,7,7,62.000000,11,2,3,,,
Espinosa,Daniel,457787,"Espinosa Danny",9219,LAA,1,4,6,6,53.000000,9,3,3,,,
